Operator,Treat,REVN_B,REVI_B,REVN_A,REVI_A
Meditel,1,120939260.6,96.36125225,122554115.5,97.64792657
Telecom New Zealand (Spark),1,139514550,91.70305677,152469472.5,100.2183406
Vodafone,1,284260895.6,104.4043189,252189158,92.62490087
Telenor Mobil,1,389149805,110.5665809,371735099.5,105.6186549
Telia,0,260813170,92.99282398,261405120,93.2038835
Omantel,1,55334246.49,58.53231989,123350505.2,130.479616
Ufone (PTCL),1,140477255.8,111.8391849,143306898.7,114.0919693
Mobilink,1,234853558.5,97.67348576,262245102.9,109.0653831
Zong (China Mobile),0,28458030.32,58.40024372,73876123.03,151.6051371
Telenor Mobil,0,143411318.1,99.44139418,170814464.1,118.442733
Warid Telecom (Abu Dhabi),0,73990878.84,71.1021131,79592334.22,76.48487541
Polska Telefonica Cyfrowa (T-Mobile),1,520719840,107.7625571,465558840,96.34703196
PTK Centertel (Orange),1,492062807,106.8169324,440146762,95.54700385
P4,1,73182821.48,66.63316797,230456590,209.8313834
Polkomtel,1,391443180.6,84.37988074,489210716.8,105.4547479
Orange,0,401146416,85.66792861,497381036,106.2195782
T-Mobile,0,419339786.2,85.80255429,536164920,109.7065463
Qtel (Ooredoo),1,241926703.5,86.41099512,259726677.3,92.76876146
Orange Romania,1,312211260,92.18241042,291250080,85.99348534
Vodafone Romania,1,262918800,85.15081206,344588400,111.6009281
Telekom Romania,0,30213886.14,51.43195177,111756186,190.2383143
MegaFon,0,737490468.6,92.71903169,887127390,111.5317365
Vimpelcom,1,726499270.8,92.61541639,835033973.4,106.4516129
MTS,1,827780323,88.87548693,1008038667,108.2291097
SMARTS,0,6775837.147,59.7086212,11007777.66,97.00044617
Tele2,0,154308855.6,84.02941176,207941580,113.2352941
STC,1,1344707605,89.11431932,1664966325,110.3379948
Orange,0,166586220,85.31073446,217334340,111.299435
T-Mobile Slovensko,1,112528440,87.93103448,145625040,113.7931034
Telefonica Moviles,1,2645521560,110.4051565,2310142680,96.40883978
Vodafone Spain,1,1824670800,91.61870504,1800483828,90.40425086
Telefonica Espana,1,2577121920,97.41451209,2396193840,90.57547957
Orange Spain,1,591325920,63.88557807,914569380,98.80810489
Vodafone Spain,1,1409875200,87.11819389,1740852000,107.5697211
Tele2,1,231689230,97.89894947,248027050,104.8024012
Telenor Mobil,1,185237627,100.5667506,199414681.7,108.2635688
Telia,0,371034260,94.00119976,441713090,111.9076185
3,0,82673200.42,81.87624725,118410991,117.2695327
AIS,1,777355932.1,89.18162934,975819488,111.9502255
DTAC (Telenor),0,515781672.4,93.74386156,595181422.9,108.1748497
WE PCT (Asia Wireless Communication),0,1797753.648,206.9761559,446495.9031,51.40526664
TrueMove H (True Corporation),0,211035017,74.55223681,362699062.8,128.1305198
my (CAT Telecom),0,24176194.82,90.92348062,87667768.95,329.7069184
TSTT,1,33445837,86.62333269,54659263,141.5652275
Vodafone UK,1,1361876400,97.78806584,1441396800,103.4979424
3 UK,1,593621577,77.83135393,512109226.8,67.14404602
Du,1,687884241.7,79.72134838,892981697.2,103.4908211
